"id","name","description","lat","lon"
"1","100 Club","Oxford Street, London  W1&lt;br/&gt;3 Nov 2010 : Buster Shuffle&lt;br/&gt;","51.514980","-0.144328"
"2","93 Feet East","150 Brick Lane, London  E1 6RU&lt;br/&gt;7 Dec 2010 : Jenny &amp; Johnny&lt;br/&gt;","51.521710","-0.071737"
"3","Adelphi Theatre","The Strand, London  WC2E 7NA&lt;br/&gt;11 Oct 2010 : Love Never Dies","51.511010","-0.120140"
"4","Albany, The","240 Gt. Portland Street, London  W1W 5QU","51.521620","-0.143394"
"5","Aldwych Theatre","Aldwych, London  WC2B 4DF&lt;br/&gt;11 Oct 2010 : Dirty Dancing","51.513170","-0.117503"
"6","Alexandra Palace","Wood Green, London  N22&lt;br/&gt;30 Oct 2010 : Lynx All-Nighter","51.596490","-0.109514"
